Sample,RelativeGE,Sex,Hour,Time,Light
12am-1,2.302376098,M,12am,night,dark
12am-2,0.906693041,F,12am,night,dark
12am-3,2.280989713,F,12am,night,dark
12am-4,0.712631301,F,12am,night,dark
12am-5,1.153570171,M,12am,night,dark
12am-6,1.148409018,M,12am,night,dark
12am-7,3.468831896,M,12am,night,dark
12am-8,0.530616579,M,12am,night,dark
12am-9,0.761993857,M,12am,night,dark
4pm-1,1.042693608,F,4pm,day,light
4pm-2,2.092090756,F,4pm,day,light
4pm-3,1.109269948,F,4pm,day,light
4pm-4,0.685289329,M,4pm,day,light
4pm-5,1.241959428,M,4pm,day,light
4pm-6,1.354951178,M,4pm,day,light
4pm-7,0.6754647,M,4pm,day,light
4pm-8,0.916890685,M,4pm,day,light
4pm-9,1.608375102,M,4pm,day,light
8am-1,1.582086392,M,8am,day,light
8am-2,1.28124281,F,8am,day,light
8am-3,0.783252822,F,8am,day,light
8am-4,1.498774816,F,8am,day,light
8am-5,0.926428759,M,8am,day,light
8am-6,1.214803141,M,8am,day,light
8am-7,0.690605506,M,8am,day,light
8am-8,0.919320035,M,8am,day,light
8am-9,0.588146222,M,8am,day,light
DD-1,0.788807525,F,12pm,day,dark
DD-2,0.506630441,F,12pm,day,dark
DD-3,0.807608118,F,12pm,day,dark
DD-4,2.871617539,M,12pm,day,dark
DD-5,1.598516803,M,12pm,day,dark
DD-6,1.706703623,M,12pm,day,dark
DN-1,0.922466003,M,1am,night,dark
DN-2,0.745830186,M,1am,night,dark
DN-3,0.931262467,M,1am,night,dark
DN-4,0.261691796,F,1am,night,dark
DN-5,0.742189932,F,1am,night,dark
LD-1,4.36419795,M,12pm,day,light
LD-10,0.630801349,F,12pm,day,light
LD-11,1.026753615,F,12pm,day,light
LD-2,3.479690634,M,12pm,day,light
LD-3,3.576529934,M,12pm,day,light
LD-4,0.802952107,F,12pm,day,light
LD-5,0.566066409,F,12pm,day,light
LD-6,1.04951809,M,12pm,day,light
LD-7,0.898214855,M,12pm,day,light
LD-8,1.235783985,M,12pm,day,light
LD-9,0.8771098,M,12pm,day,light
LN-1,1.553267365,M,1am,night,light
LN-10,1.519145754,M,1am,night,light
LN-11,1.715652884,M,1am,night,light
LN-2,1.698501789,M,1am,night,light
LN-3,0.640042971,F,1am,night,light
LN-4,1.66226935,F,1am,night,light
LN-5,2.169532296,F,1am,night,light
LN-6,0.81169747,F,1am,night,light
LN-7,1.623652217,F,1am,night,light
LN-8,1.029126691,F,1am,night,light
LN-9,0.837061882,M,1am,night,light
