Sample,Tissue,Condition,RGE
WT1-R,retina,day,0.973699964
WT2-R,retina,day,0.584052
WT3-R,retina,day,1.182516286
WT4-R,retina,day,1.103310465
WT5-R,retina,day,1.347778308
WT1-H,hypothalamus,day,65.66511421
WT2-H,hypothalamus,day,53.81107524
WT3-H,hypothalamus,day,33.6564733
WT4-H,hypothalamus,day,41.91241675
WT5-H,hypothalamus,day,118.0469841
WT6-R,retina,night,1.484622015
WT7-R,retina,night,1.646351731
WT8-R,retina,night,1.82455359
WT9-R,retina,night,2.803041622
WT10-R,retina,night,2.747611474
WT6-H,hypothalamus,night,49.3234318
WT7-H,hypothalamus,night,25.37367321
WT8-H,hypothalamus,night,55.28213558
WT9-H,hypothalamus,night,54.25650645
WT10-H,hypothalamus,night,31.8933065
