Sample,Time,Light,RGE,Run
LD-1,day,light,2.238862924,1
LD-2,day,light,2.095278059,1
LD-3,day,light,2.272757532,1
LD-6,day,light,0.306721665,2
LD-7,day,light,0.625139245,2
LD-8,day,light,0.391250714,2
LD-9,day,light,0.317273517,2
LN-1,night,light,1.085313365,1
LN-2,night,light,1.14348029,1
LN-9,night,light,0.332055328,2
LN-10,night,light,0.237413259,2
LN-11,night,light,0.390461,2
DD-4,day,dark,1.348446533,0
DD-5,day,dark,0.944719837,0
DD-6,day,dark,0.784988391,0
DN-1,night,dark,0.606867973,0
DN-2,night,dark,0.496753527,0
DN-3,night,dark,0.51703852,0
